PPOS;rfp;HFG;salesName
SAB-TC265D_PD-176_Z_CU;SAL-TC265D-40F200N Z CAN FD;M;SAL-TC265D-40F200N BC
SAB-TC265D (PD-176)_CU;SAK-TC265D-40F200W (PD-176);M;SAL-TC265D-40F200W BB
SAB-TC267D_PD-292_Z_CU;SAL-TC267D-40F200N Z CAN FD;M;SAL-TC267D-40F200N BC
SAB-TC270T (PD-BD);SAL-TC270T-64F200;M;SAL-TC270TC-64F200 DB
SAB-TC270TF_ED-BD_Z;SAL-TC270TF-64F200N Z CAN FD;M;SAL-TC270TF-64F200N DC
SAB-TC270T (PD-BD);SAL-TC270T-64F200;M;SAL-TC270TP-64F200 DB
SAB-TC270TP_PD-BD_Z;SAL-TC270T-64F200 Z NON CAN FD;M;SAL-TC270TP-64F200 DC
SAB-TC270TP_PD-BD_Z;SAL-TC270T-64F200N Z CAN FD;M;SAL-TC270TP-64F200N DC
SAB-TC275T_PD-176_C_CU;SAB-TC275T-64F200W C_PD-176;M;SAL-TC275T-64F200W CA
SAB-TC275T_PD-176_D_CU;SAB-TC275T-64F200W D_PD-176;M;SAL-TC275T-64F200W DB
SAB-TC275T_PD-176_Z_CU;SAL-TC275T-64F200W Z NON CAN FD;M;SAL-TC275T-64F200W DC
SAB-TC275T_PD-176_Z_CU;SAL-TC275T-64F200N Z CAN FD;M;SAL-TC275TP-64F200N DC
SAB-TC275T_PD-176_C_CU;SAB-TC275T-64F200W C_PD-176;M;SAL-TC275TP-64F200W CA
SAB-TC275T_PD-176_C_CU;SAB-TC275T-64F200W C_PD-176;M;SAL-TC275TP-64F200W CA
SAB-TC275T_PD-176_D_CU;SAB-TC275T-64F200W D_PD-176;M;SAL-TC275TP-64F200W DB
SAB-TC275T_PD-176_Z_CU;SAL-TC275T-64F200W Z NON CAN FD;M;SAL-TC275TP-64F200W DC
SAB-TC277T_PD-292_C_CU;SAB-TC277T-64F200S C_PD-292;M;SAL-TC277T-64F200S CA
SAB-TC277T_PD-292_C_CU;SAB-TC277T-64F200S C_PD-292;M;SAL-TC277T-64F200S CA
SAB-TC277T_PD-292_D_CU;SAB-TC277T-64F200S D_PD-292;M;SAL-TC277T-64F200S DB
SAB-TC277T_PD-292_D_CU;SAB-TC277T-64F200S D_PD-292;M;SAL-TC277T-64F200S DB
SAB-TC277T_PD-292_Z_CU;SAL-TC277T-64F200S Z NON CAN FD;M;SAL-TC277T-64F200S DC
SAB-TC277T_PD-292_Z_CU;SAL-TC277T-64F200S Z NON CAN FD;M;SAL-TC277T-64F200S DC
SAB-TC277T_PD-292_Z_CU;SAL-TC277T-64F200N Z CAN FD;M;SAL-TC277TP-64F200N DC
SAB-TC277T_PD-292_Z_CU;SAL-TC277T-64F200N Z CAN FD;M;SAL-TC277TP-64F200N DC
SAB-TC277T_PD-292_D_CU;SAB-TC277T-64F200S D_PD-292;M;SAL-TC277TP-64F200S DB
SAB-TC277T_PD-292_D_CU;SAB-TC277T-64F200S D_PD-292;M;SAL-TC277TP-64F200S DB
SAB-TC290T_PD-BD_Z;SAL-TC290T-XXF300 Z NON CAN FD;M;SAL-TC290TC-96F300 BC
SAB-TC290T (PD-BD);SAL-TC290T-128F300;M;SAL-TC290TP-128F300 BB
SAB-TC290T_PD-BD_Z;SAL-TC290T-XXF300 Z NON CAN FD;M;SAL-TC290TP-128F300 BC
SAB-TC290T_PD-BD_Z;SAL-TC290T-128F300N Z CAN FD;M;SAL-TC290TP-128F300N BC
SAB-TC298T (PD-416)_CU;SAL-TC298T-128F300L;M;SAL-TC298TP-128F300L BB
SAB-TC298T (PD-416)_CU;SAL-TC298T-128F300L;M;SAL-TC298TP-128F300L BB
SAB-TC298T (PD-416)_CU;SAL-TC298T-128F300L;M;SAL-TC298TP-128F300L BB
SAB-TC298T_PD-416_Z_CU;SAL-TC298T-128F300N Z CAN FD;M;SAL-TC298TP-128F300N BC
SAB-TC298T_PD-416_Z_CU;SAL-TC298T-128F300N Z CAN FD;M;SAL-TC298TP-128F300N BC
SAB-TC298T_PD-416_Z_CU;SAL-TC298T-128F300N Z CAN FD;M;SAL-TC298TP-128F300N BC
SAB-TC299T_PD-516_Z_CU;SAL-TC299T-128F300N Z CAN FD;M;SAL-TC299TP-128F300N BC
SAB-TC299T_PD-516_Z_CU;SAL-TC299T-128F300N Z CAN FD;M;SAL-TC299TP-128F300N BC
SAB-TC299T (PD-516)_CU;SAB-TC299T-128F300S;M;SAL-TC299TP-128F300S BB
SAB-TC299T (PD-516)_CU;SAB-TC299T-128F300S;M;SAL-TC299TP-128F300S BB
SAB-TC322LP_PD-80_CU;SAL-TC322LP-16F160F;X;SAL-TC322LP-16F160F AA
SAB-TC323LP_PD-100_CU;SAL-TC323LP-16F160F;X;SAL-TC323L-24F200F AA
SAB-TC323LP_PD-100_CU;SAL-TC323LP-16F160F;X;SAL-TC323LP-16F160F AA
SAB-TC323LP_PD-100_CU;SAL-TC323LP-16F160F;X;SAL-TC323LP-24F200F AA
SAB-TC324LP_PD-144_CU;SAL-TC324LP-16F160F;X;SAL-TC324L-24F200F AA
SAB-TC324LP_PD-144_CU;SAL-TC324LP-16F160F;X;SAL-TC324LP-16F160F AA
SAB-TC324LP_PD-144_CU;SAL-TC324LP-16F160F;X;SAL-TC324LP-24F200F AA
SAB-TC327LP_PD-292_CU;SAL-TC327LP-16F160S;X;SAL-TC327LP-16F160S AA
SAB-TC332LP_PD-80_CU;SAL-TC332LP-32F200F;X;SAL-TC332LP-32F200F AA
SAB-TC332LP_PD-80_CU;SAL-TC332LP-32F200F;X;SAL-TC332LP-32F300F AA
SAB-TC333LP_PD-100_CU;SAL-TC333LP-32F200F;X;SAL-TC333L-32F200F AA
SAB-TC333LP_PD-100_CU;SAL-TC333LP-32F200F;X;SAL-TC333LP-32F200F AA
SAB-TC333LP_PD-100_CU;SAL-TC333LP-32F200F;X;SAL-TC333LP-32F300F AA
SAB-TC334LP_PD-144_CU;SAL-TC334LP-32F200F;X;SAL-TC334L-32F200F AA
SAB-TC334LP_PD-144_CU;SAL-TC334LP-32F200F;X;SAL-TC334LP-32F200F AA
SAB-TC334LP_PD-144_CU;SAL-TC334LP-32F200F;X;SAL-TC334LP-32F300F AA
SAB-TC336LP_PD-180_CU;SAL-TC336LP-32F200S;X;SAL-TC336LP-32F200S AA
SAB-TC336LP_PD-180_CU;SAL-TC336LP-32F200S;X;SAL-TC336LP-32F300S AA
SAB-TC337LP_PD-292_CU;SAL-TC337LP-32F200S;X;SAL-TC337LP-32F200S AA
